customer_id,credit_score,customer_tenure,balance,num_products,outstanding_loans,income,credit_history_length,num_complaints,churn_flag
CUST10000,356,6,116606.09,2,44005.38,46809.95,6.8,0,1
CUST10001,657,6,34428.9,2,2852.37,27342.93,9.5,0,0
CUST10002,616,5,63269.04,2,40063.22,41625.59,6.0,2,1
CUST10003,374,5,68720.48,1,43479.22,54285.25,3.9,1,0
CUST10004,759,1,46452.9,3,12245.62,27285.47,1.4,4,1
CUST10005,449,9,26551.64,2,48847.66,22643.8,6.8,3,0
CUST10006,464,1,40204.62,4,18591.55,79339.95,4.8,3,0
CUST10007,432,2,127853.16,3,7917.79,22910.5,9.6,4,0
CUST10008,500,9,149110.84,2,20974.51,33398.56,6.3,0,1
CUST10009,429,4,55601.14,4,48616.28,37884.24,6.7,1,1
CUST10010,506,5,69262.64,2,5674.56,70281.17,6.8,2,1
CUST10011,715,7,50248.28,4,34648.61,29476.37,5.9,4,0
CUST10012,553,6,54815.81,4,6804.6,25513.27,4.5,1,1
CUST10013,765,10,103076.02,4,34264.86,18867.8,5.1,3,0
CUST10014,552,10,110298.95,4,7711.0,63241.63,7.1,2,1
CUST10015,474,3,47555.64,4,47187.49,49562.81,3.1,2,0
CUST10016,704,8,21753.01,4,45685.56,16599.52,2.6,4,1
CUST10017,718,7,106128.9,4,49220.67,41846.39,9.1,4,0
CUST10018,737,3,65908.65,1,43920.78,79191.15,7.1,3,1
CUST10019,750,2,137444.29,3,19295.99,74615.04,8.8,2,1
CUST10020,361,9,61400.12,3,23290.13,49366.87,4.3,2,1
CUST10021,580,8,4157.25,4,15694.5,26462.84,6.2,2,1
CUST10022,470,4,108920.8,4,24608.3,51228.54,6.4,1,1
CUST10023,460,3,147867.28,3,11895.03,45889.3,9.1,0,1
CUST10024,458,7,69954.27,3,48002.94,77898.61,8.9,1,1
CUST10025,720,3,142897.41,1,20892.69,11052.83,3.3,3,1
CUST10026,706,5,24388.46,2,16801.05,31794.25,9.7,2,0
CUST10027,446,3,31928.95,3,46763.76,38220.37,4.4,3,0
CUST10028,534,7,51226.81,2,17376.54,61121.66,6.5,2,0
CUST10029,683,4,60891.91,4,21074.93,62443.48,9.9,2,0
CUST10030,416,7,134918.73,3,31396.42,61393.69,4.7,2,1
CUST10031,633,4,145876.47,1,36527.83,49822.08,6.8,4,0
CUST10032,547,7,76531.83,1,21283.39,48617.76,9.9,3,1
CUST10033,767,7,104511.64,3,11112.89,30317.76,6.7,2,0
CUST10034,682,5,94142.85,4,31094.71,70820.54,6.9,3,1
CUST10035,454,6,129079.91,2,8506.78,39881.35,8.1,3,0
CUST10036,725,2,16167.23,2,30944.14,35027.58,8.1,0,0
CUST10037,709,8,84251.22,2,32128.26,65658.77,9.5,1,1
CUST10038,445,8,121249.41,1,31944.75,60731.98,6.8,4,0
CUST10039,583,3,116134.07,4,17599.13,32298.61,3.3,0,0
CUST10040,707,5,115119.29,3,19816.04,11658.16,1.6,1,0
CUST10041,454,10,147180.01,2,13250.77,10586.82,1.7,2,0
CUST10042,460,2,4245.57,4,39468.38,69557.81,9.7,4,0
CUST10043,424,6,15914.66,3,35811.96,20573.26,8.4,3,0
CUST10044,353,6,22999.38,1,34571.88,52171.19,6.3,1,1
CUST10045,574,7,87132.27,2,48565.75,51351.22,9.1,2,1
CUST10046,357,5,64625.59,3,44340.91,25774.75,8.8,3,1
